Instituição;Secretaria;Tipo;Placa;Marca/Modelo;Ano Fabricação;Ano Modelo;Cor;Observações
PML;SEDURB;Proprio;IAO1477;FIAT/PALIO;2.009;2.010;PRETA;
PML;SEDURB;Proprio;OZE4944;M.BENZ/ATRON;2.013;2.013;BRANCA;
PML;SEDURB;Proprio;QKS5752;FIAT STRADA WORKING;2.015;2.015;BRANCA;
PML;SEDURB;Proprio;QKO2067;M.BENZ/ATRON;2.013;2.013;BRANCA;
PML;SEDURB;Proprio;QME6314;VW/17.190 CRM 4X2;2.018;2.018;BRANCA;PIPA
PML;SEDURB;Proprio;QKV6217;FORD/CARGO;2.016;2.017;BRANCA;DIESEL
PML;SEDURB;Proprio;QMF9223;VW/17.190 COLETOR;2.019;2.019;BRANCA;
PML;SEDURB;Proprio;QMA1053;MMC/L200 TRITON;2.017;2.018;BRANCA;
PML;SEDURB;Proprio;QMG7501;VW/17.190 CAÇAMBA;2.018;2.018;BRANCA;
PML;SEDURB;Proprio;IAD2455;VW/24.250 CNC 6X2;2.007;2.007;PRATA;
PML;SEMOP;Proprio;QMD4047;VW AMAROK;2.018;2.018;BRANCA;COMBUSTÍVEL DIESEL  
PML;SEMOP;Proprio;QKY0739;RENAULT/OROCH;2.016;2.017;BRANCA;
PML;SEMOP;Proprio;QKW6757;YAMANHA/XTZ250 LANDER;2.016;2.016;BRANCA;
PML;SEMOP;Proprio;QMD4046;VW/AMAROK;2.018;2.018;BRANCA;
PML;SEMOP;Proprio;NVG4447;VW/GOL;2.011;2.012;BRANCA;ALCOOL/GASOLINA
PML;SEMED;Proprio;IAN0708;VW/MPOLO;2.007;2.008;AMARELO;COMBUSTÍVEL DIESEL  ONIBUS ESCOLAR 
PML;SEMED;Proprio;OES5527;MARCOPOLO/VOLARE ;2.012;2.013;AMARELO;COMBUSTÍVEL DIESEL  
PML;SEMED;Proprio;IAP0153;MARCOPOLO/VOLARE  V8L;2.010;2.010;AMARELO;COMBUSTÍVEL DIESEL  
PML;SEMED;Proprio;IAM0708;VW/MPOLO IDEALE R;2.007;2.008;BRANCA;COMBUSTÍVEL DIESEL  ÔNIBUS ESCOLAR 
PML;SEMED;Proprio;QMA8517;VW/NEOBUS/TRANSPORT;2.017;2.018;AMARELO;COMBUSTÍVEL DIESEL  
PML;SEMED;Proprio;QMH3742;M.BENZ/CAIO LO916.ORE;2.019;2.020;AMARELO;COMBUSTÍVEL DIESEL  ACESSIBILIDADE 
PML;SEMED;Proprio;QMA1875;MMC/L200 TRITON OUTDORA;2.017;2.018;BRANCA;CAMINHONETA DIESEL 
PML;SEMED;Proprio;IAP0113;MARCOPOLO/VOLARE ;2.010;2.010;AMARELO;COMBUSTÍVEL DIESEL  
PML;SEMED;Proprio;IAP8706;VW/VOLARE IDEALE R;2.007;2.008;BRANCA;COMBUSTÍVEL DIESEL  ONIBUS ESCOLAR 
PML;SEMED;Proprio;IAL5632;MARCOPOLO/VOLARE VSL;2.010;2.010;AMARELO;COMBUSTÍVEL DIESEL  ONIBUS ESCOLAR 
PML;SEMED;Proprio;IAO3578;FIAT/PALIO;2.015;2.015;BRANCA;
PML;SEMED;Proprio;QMF7985;VW/ORE 1 ECOLAR;2.019;2.019;AMARELO;COMBUSTÍVEL DIESEL  ÔNIBUS ESCOLAR 
PML;SEMED;Proprio;IAO3678;FIAT/PALIO FIRE;2.015;2.015;BRANCA;COMBUSTÍVEL ALCO/GASOL 
PML;SEMED;Proprio;IAN9311;VW/INDUSCAR FOZ U;2.009;2.010;AMARELO;COMBUSTÍVEL DIESEL  
PML;SEMED;Proprio;IAN9351;VW/INDUSCAR FOZ U;2.009;2.009;AMARELO;COMBUSTÍVEL DIESEL  ONIBUS ESCOLAR 
PML;SEMED;Proprio;QKR8646;FIAT/PALIO FIRE;2.015;2.015;BRANCA;
PML;SEMED;Proprio;OEM6806;VW/186CV;2.012;2.013;AMARELO;
